experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations,algorithm,k,possible_percentage_manipulators,average_runtime,utility_rating_in_experiment,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students,k_to_schools_ratio
106.0,200,5,True,5,5,50,0.01,1.0,0,2,gs,3,100.0,14.774928112030029,1.0,0.1806079381062011,0.0,0.1806079381062011,87.9,264.32,7.6928,0.0,7.6928,0.6
106.0,200,5,True,5,5,50,0.01,1.0,0,2,gs,4,100.0,17.395381574630736,2.0,0.175308773504162,0.0,0.175308773504162,50.32,111.96,6.6432,0.0,6.6432,0.8
106.0,200,5,True,5,5,50,0.01,1.0,0,2,gs,5,100.0,17.613897771835326,3.0,0.1741775663231677,0.0,0.1741775663231677,0.0,0.0,0.0,0.0,0.0,1.0
106.0,200,5,True,5,5,50,0.01,1.0,0,2,boston,5,100.0,11.709791717529296,4.0,0.1741641954089369,0.0,0.1741641954089369,0.0,0.0,0.0,0.0,0.0,1.0
107.0,200,5,True,5,5,50,0.01,1.0,0,4,gs,1,100.0,18.04182810783386,1.0,0.2329261882721265,0.0,0.2329261882721265,60.58,239.72,15.72,0.0,15.72,0.2
107.0,200,5,True,5,5,50,0.01,1.0,0,4,gs,2,100.0,19.747199811935424,2.0,0.2289663989381028,0.0,0.2289663989381028,69.62,260.04,11.6536,0.0,11.6536,0.4
107.0,200,5,True,5,5,50,0.01,1.0,0,4,gs,3,100.0,22.46168558120728,3.0,0.2228646323620855,0.0,0.2228646323620855,53.36,160.6,9.9424,0.0,9.9424,0.6
107.0,200,5,True,5,5,50,0.01,1.0,0,4,gs,4,100.0,25.11611585617065,6.0,0.2217342325555899,0.0,0.2217342325555899,38.68,85.6,6.7788,0.0,6.7788,0.8
107.0,200,5,True,5,5,50,0.01,1.0,0,4,gs,5,100.0,25.344216527938844,4.0,0.2221919913127465,0.0,0.2221919913127465,0.0,0.0,0.0,0.0,0.0,1.0
107.0,200,5,True,5,5,50,0.01,1.0,0,4,boston,5,100.0,17.13647045135498,5.0,0.2221312768670934,0.0,0.2221312768670934,0.0,0.0,0.0,0.0,0.0,1.0
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,1,100.0,17.274633741378786,1.0,0.2321692739042953,0.0,0.2321692739042953,60.5,239.68,15.8,0.0,15.8,0.2
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,2,100.0,19.181083984375,2.0,0.2289454336203021,0.0,0.2289454336203021,69.64,261.08,11.502,0.0,11.502,0.4
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,3,100.0,21.591796045303344,3.0,0.2228160056579619,0.0,0.2228160056579619,53.26,158.4,9.884,0.0,9.884,0.6
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,4,100.0,24.09801568031311,6.0,0.2217918185157214,0.0,0.2217918185157214,38.46,84.92,6.8256000000000006,0.0,6.8256000000000006,0.8
108.0,200,5,True,5,5,50,0.01,1.0,0,5,gs,5,100.0,24.31472630500793,4.0,0.2222353436472826,0.0,0.2222353436472826,0.0,0.0,0.0,0.0,0.0,1.0
108.0,200,5,True,5,5,50,0.01,1.0,0,5,boston,5,100.0,16.392034187316895,5.0,0.2221312768670934,0.0,0.2221312768670934,0.0,0.0,0.0,0.0,0.0,1.0
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,1,50.0,95.40130747795104,11.0,0.0741389574279659,0.0257365427251454,0.1225413721307863,50.0,280.24,48.68,86.2,11.16,0.1
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,2,50.0,96.5530898284912,10.0,0.0783209277906123,0.0477938940369028,0.1088479615443218,49.64,344.6,42.8992,72.5608,13.2376,0.2
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,3,50.0,98.74677390098572,9.0,0.0803281585818333,0.0618992566820517,0.098757060481615,49.78,315.96,39.936800000000005,62.2248,17.6488,0.3
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,4,50.0,102.65159706115725,8.0,0.0817979742479939,0.0676079434767335,0.0959880050192543,49.82,273.52,36.1644,55.9688,16.36,0.4
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,5,50.0,108.77112219810486,7.0,0.0855527156077871,0.0752459959927467,0.0958594352228274,40.66,224.52,29.604,47.7128,11.4952,0.5
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,6,50.0,116.85403215408326,6.0,0.088903284902202,0.0801002831082739,0.0977062866961301,43.8,213.24,23.0996,40.5672,5.632000000000001,0.6
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,7,50.0,125.42260364532471,5.0,0.0913608997352524,0.0858747216976148,0.0968470777728899,41.8,173.88,17.8752,31.0376,4.7128,0.7
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,8,50.0,133.70682711601256,4.0,0.0928827120454223,0.0909299729552656,0.094835451135579,37.38,121.32,12.8848,20.1616,5.608,0.8
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,9,50.0,141.64492371559143,3.0,0.0940390080838963,0.093155315301307,0.0949227008664855,30.18,66.36,7.9524,12.604,3.3008,0.9
109.0,200,10,True,5,5,50,0.002,0.5,100,5,gs,10,50.0,141.95850675582886,1.0,0.0951810780176471,0.0950659388979426,0.0952962171373515,0.0,0.0,0.0,0.0,0.0,1.0
109.0,200,10,True,5,5,50,0.002,0.5,100,5,boston,10,50.0,94.86754502296448,2.0,0.0950861278502933,0.0952312056905154,0.0949410500100711,0.0,0.0,0.0,0.0,0.0,1.0
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,1,50.0,96.96296699523926,11.0,0.0744497044487327,0.0348258054807823,0.1140736034166831,50.0,399.12,42.9,81.4,4.4,0.1
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,2,50.0,98.904896068573,10.0,0.0773316209675576,0.04448426953267,0.1101789724024452,49.86,468.04,39.210800000000006,74.81519999999999,3.6064,0.2
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,3,50.0,101.75530470848084,9.0,0.077392442894367,0.0548265872771849,0.0999582985115491,49.4,400.36,38.606,67.0456,10.1664,0.3
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,4,50.0,106.01940925598144,8.0,0.0816110117344201,0.0646490337875774,0.0985729896812627,49.96,342.48,32.6108,58.5008,6.7208,0.4
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,5,50.0,111.99653680801391,7.0,0.0838535042424119,0.0710930199818932,0.0966139885029305,48.96,257.84,27.924,50.5288,5.3192,0.5
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,6,50.0,120.07454891204834,6.0,0.0869885278333015,0.0777283952673108,0.0962486603992922,45.84,234.32,22.277200000000004,41.528,3.0264,0.6
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,7,50.0,127.8988461971283,5.0,0.0899167088634691,0.084251957100876,0.0955814606260623,48.3,178.36,15.7124,30.32,1.1048,0.7
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,8,50.0,136.16534663200378,4.0,0.0931080181820726,0.0918501173583839,0.0943659190057613,34.2,112.44,8.186399999999999,13.572800000000004,2.8,0.8
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,9,50.0,143.2670656013489,3.0,0.093487331758186,0.0933828689617114,0.0935917945546607,25.8,55.12,5.3032,7.2936,3.3128,0.9
110.0,200,10,True,5,5,50,0.002,0.5,100,8,gs,10,50.0,143.57805550575256,2.0,0.0941153971909901,0.0941227407644855,0.0941080536174947,0.0,0.0,0.0,0.0,0.0,1.0
110.0,200,10,True,5,5,50,0.002,0.5,100,8,boston,10,50.0,96.11978256225586,1.0,0.0941464785196941,0.0940738536716383,0.0942191033677498,0.0,0.0,0.0,0.0,0.0,1.0
